Index,Sample,Component,Expected,Obtained,AbsError,RelError
122,61,Real,-10.03067441,-nan,nan,nan
123,61,Imag,-1.421006311,-nan,nan,nan
124,62,Real,16.65443918,-nan,nan,nan
125,62,Imag,2.606452153,-nan,nan,nan
126,63,Real,-14.95990952,-nan,nan,nan
127,63,Imag,-9.519042834,nan,nan,nan
128,64,Real,6.445105791,nan,nan,nan
129,64,Imag,-2.995770931,nan,nan,nan
130,65,Real,6.630235464,nan,nan,nan
131,65,Imag,-12.61048981,-nan,nan,nan
132,66,Real,5.626378678,nan,nan,nan
133,66,Imag,0.7313790908,-nan,nan,nan
134,67,Real,-8.113984312,nan,nan,nan
135,67,Imag,-6.573879155,-nan,nan,nan
136,68,Real,1.834294064,nan,nan,nan
137,68,Imag,-0.5446818796,-nan,nan,nan
138,69,Real,11.39061748,nan,nan,nan
139,69,Imag,6.228425593,-nan,nan,nan
140,70,Real,12.91591563,nan,nan,nan
141,70,Imag,10.48560906,nan,nan,nan
142,71,Real,-9.316548527,nan,nan,nan
143,71,Imag,-2.804987895,-nan,nan,nan
144,72,Real,-22.3927972,nan,nan,nan
145,72,Imag,15.55547851,nan,nan,nan
146,73,Real,-1.358434881,nan,nan,nan
147,73,Imag,-13.83631082,-nan,nan,nan
148,74,Real,2.941141779,nan,nan,nan
149,74,Imag,-6.421957149,-nan,nan,nan
150,75,Real,-14.08580111,nan,nan,nan
151,75,Imag,-7.613088582,-nan,nan,nan
152,76,Real,-6.043690447,nan,nan,nan
153,76,Imag,0.7448254833,-nan,nan,nan
154,77,Real,-4.915546694,nan,nan,nan
155,77,Imag,3.75975779,-nan,nan,nan
156,78,Real,-11.29045081,nan,nan,nan
157,78,Imag,-3.820856798,-nan,nan,nan
158,79,Real,-16.26402532,nan,nan,nan
159,79,Imag,3.640325575,nan,nan,nan
160,80,Real,-0.480478663,nan,nan,nan
161,80,Imag,-1.430628193,-nan,nan,nan
162,81,Real,-4.513098658,nan,nan,nan
163,81,Imag,-1.31650881,nan,nan,nan
164,82,Real,-0.1481241009,nan,nan,nan
165,82,Imag,3.059194336,-nan,nan,nan
166,83,Real,-1.992286321,-nan,nan,nan
167,83,Imag,-3.255333642,-nan,nan,nan
168,84,Real,-6.893926662,nan,nan,nan
169,84,Imag,-0.9021606438,nan,nan,nan
170,85,Real,-2.70061547,nan,nan,nan
171,85,Imag,0.7368429233,-nan,nan,nan
172,86,Real,0.7978741538,nan,nan,nan
173,86,Imag,1.899282236,nan,nan,nan
174,87,Real,-0.8805584318,nan,nan,nan
175,87,Imag,6.908424466,-nan,nan,nan
176,88,Real,9.360910406,nan,nan,nan
177,88,Imag,-2.765445212,nan,nan,nan
178,89,Real,8.522516371,nan,nan,nan
179,89,Imag,2.384723631,nan,nan,nan
180,90,Real,-8.138576024,nan,nan,nan
181,90,Imag,-5.616846969,-nan,nan,nan
182,91,Real,5.016069285,nan,nan,nan
183,91,Imag,0.003149347001,-nan,nan,nan
184,92,Real,-2.820856495,nan,nan,nan
185,92,Imag,13.9847179,nan,nan,nan
186,93,Real,-0.09143259969,nan,nan,nan
187,93,Imag,-5.860734436,nan,nan,nan
188,94,Real,2.022434609,nan,nan,nan
189,94,Imag,-1.008822637,nan,nan,nan
190,95,Real,10.8923619,-nan,nan,nan
191,95,Imag,4.07139964,-nan,nan,nan
192,96,Real,14.06141754,nan,nan,nan
193,96,Imag,-1.141605692,-nan,nan,nan
194,97,Real,-5.180938464,nan,nan,nan
195,97,Imag,-13.09674011,nan,nan,nan
196,98,Real,10.24715446,nan,nan,nan
197,98,Imag,-3.093841037,nan,nan,nan
198,99,Real,9.781119669,nan,nan,nan
199,99,Imag,-3.792927713,-nan,nan,nan
200,100,Real,-2.724490106,nan,nan,nan
201,100,Imag,2.136358889,nan,nan,nan
202,101,Real,3.887876749,nan,nan,nan
203,101,Imag,-12.19654021,nan,nan,nan
204,102,Real,-14.12471573,nan,nan,nan
205,102,Imag,0.9995743747,-nan,nan,nan
