Index,Sample,Component,Expected,Obtained,AbsError,RelError
0,0,Real,-2.185938954,-2.185938835,1.192092896e-07,5.453459225e-08
1,0,Imag,-2.108452022,-2.108452082,5.960464478e-08,2.826938633e-08
2,1,Real,3.831362447,3.831362009,4.383611922e-07,1.144139189e-07
3,1,Imag,9.600301308,9.600301743,4.343456332e-07,4.524291679e-08
4,2,Real,3.550504006,3.550503969,3.635988133e-08,1.024076618e-08
5,2,Imag,2.256803707,2.256803513,1.946594712e-07,8.625449816e-08
6,3,Real,8.436695324,8.436694145,1.178916362e-06,1.397367472e-07
7,3,Imag,0.9271626968,0.9271622896,4.071531376e-07,4.391388254e-07
8,4,Real,2.662517079,2.662517309,2.30058665e-07,8.640645606e-08
9,4,Imag,3.843751521,3.843751431,9.01765902e-08,2.346056703e-08
10,5,Real,13.39096339,13.3909626,7.929544559e-07,5.921563913e-08
11,5,Imag,3.573530181,3.573530436,2.544201143e-07,7.119573682e-08
12,6,Real,0.1448843927,0.1448857486,1.355932795e-06,9.35872229e-06
13,6,Imag,3.501061132,3.501060963,1.689175382e-07,4.824752606e-08
14,7,Real,-2.27754797,-2.277547836,1.340935993e-07,5.887630078e-08
15,7,Imag,-1.528008016,-1.528007627,3.893595224e-07,2.548151046e-07
16,8,Real,1.702397476,1.702397466,9.962542347e-09,5.852065977e-09
17,8,Imag,-6.884683566,-6.884682655,9.102387679e-07,1.32212143e-07
18,9,Real,5.244119702,5.244119644,5.799149783e-08,1.105838561e-08
19,9,Imag,8.782594175,8.782594681,5.054722223e-07,5.755386304e-08
20,10,Real,4.364430673,4.364430428,2.455400105e-07,5.62593449e-08
21,10,Imag,1.333773102,1.333773017,8.520684092e-08,6.388406002e-08
22,11,Real,1.097761921,1.097762823,9.020314145e-07,8.217004044e-07
23,11,Imag,8.356564239,8.356562614,1.624660092e-06,1.944172324e-07
24,12,Real,0.541867015,0.5418667793,2.356612119e-07,4.349059924e-07
25,12,Imag,5.850614341,5.850615025,6.837656192e-07,1.168707386e-07
26,13,Real,3.627298706,3.627298117,5.892836099e-07,1.62457977e-07
27,13,Imag,0.3113267469,0.3113263845,3.623773042e-07,1.163977422e-06
28,14,Real,-1.332143317,-1.332143307,1.013828843e-08,7.610508796e-09
29,14,Imag,-4.46328166,-4.463281155,5.056205508e-07,1.13284482e-07
30,15,Real,7.315475842,7.315475941,9.915133781e-08,1.355364162e-08
31,15,Imag,0.03544121696,0.03544121981,2.848229208e-09,8.03648817e-08
32,16,Real,4.690335214,4.69033432,8.940696716e-07,1.906195679e-07
33,16,Imag,-2.552672148,-2.552672148,0,0
34,17,Real,-0.6200024301,-0.6200031638,7.336891903e-07,1.183365023e-06
35,17,Imag,1.786141293,1.786140919,3.740081593e-07,2.09394498e-07
36,18,Real,-1.561523839,-1.561523914,7.533859447e-08,4.824684234e-08
37,18,Imag,-2.423320303,-2.423320532,2.291247942e-07,9.454994207e-08
38,19,Real,-6.223417549,-6.223417282,2.665513641e-07,4.283038411e-08
39,19,Imag,-3.244494616,-3.244494915,2.986798462e-07,9.205743313e-08
