Index,Sample,Component,Expected,Obtained,AbsError,RelError
82,41,Real,-3.84249083,1.097762823,4.940253653,1.285690421
83,41,Imag,-0.299923344,8.356562614,8.656485958,28.8623281
84,42,Real,-1.14164973,-3.564191818,2.422542088,2.121966154
85,42,Imag,-4.947280104,5.885000706,10.83228081,2.189542654
86,43,Real,-9.134162973,2.801189423,11.9353524,1.306671715
87,43,Imag,3.253844252,1.976334333,1.277509919,0.392615571
88,44,Real,-7.560233053,0.2033175826,7.763550636,1.026893031
89,44,Imag,6.390191873,-4.463027954,10.85321983,1.698418458
90,45,Real,-1.813691351,7.315475941,9.129167292,5.033473466
91,45,Imag,7.196034163,0.03544121981,7.160592943,0.9950748956
92,46,Real,1.857357339,5.135087967,3.277730628,1.764728067
93,46,Imag,4.981412787,2.525458574,2.455954212,0.4930236296
94,47,Real,0.02872652697,-9.777218819,9.805945346,341.3550602
95,47,Imag,-1.772675937,0.4738778472,2.246553784,1.26732345
96,48,Real,-1.573935449,-7.31819725,5.744261801,3.649617146
97,48,Imag,1.363678694,6.30069828,4.937019587,3.620368646
98,49,Real,6.786724091,-8.375983238,15.16270733,2.234171763
99,49,Imag,3.196165779,-1.929108739,5.125274518,1.603569675
100,50,Real,-4.879114582,-3.815816402,1.063298179,0.2179285117
101,50,Imag,-1.03751856,-1.644143939,0.6066253791,0.5846887011
102,51,Real,0.6710137339,0.6710143089,5.749832059e-07,8.568873882e-07
103,51,Imag,-9.442369898,-9.442369461,4.367422868e-07,4.625346089e-08
104,52,Real,2.261830285,5.401425838,3.139595554,1.388077424
105,52,Imag,0.7715308362,-1.035832882,1.807363718,2.34256835
106,53,Real,3.056628038,-6.421005249,9.477633287,3.100682572
107,53,Imag,4.642740368,11.59191322,6.949172855,1.496782569
108,54,Real,6.818646785,7.20052433,0.3818775453,0.05600488739
109,54,Imag,-3.527635049,-2.821549177,0.7060858723,0.2001584241
110,55,Real,-2.002961842,-2.002961874,3.221169553e-08,1.608203155e-08
111,55,Imag,0.0608753352,0.06087529659,3.860932685e-08,6.34235963e-07
112,56,Real,8.236474486,0.1103621721,8.126112314,0.9866007996
113,56,Imag,3.283469658,-5.263349533,8.546819191,2.602984063
114,57,Real,-3.017955041,-9.134162903,6.116207862,2.026606686
115,57,Imag,3.063021903,3.253844738,0.1908228355,0.06229888049
116,58,Real,-2.095473695,-1.832817912,0.262655783,0.1253443475
117,58,Imag,0.8650464978,0.8833931088,0.01834661108,0.02120881493
118,59,Real,-5.038870482,-5.038871765,1.283632992e-06,2.547461771e-07
119,59,Imag,-1.637468934,-1.637468576,3.571561482e-07,2.181147629e-07
120,60,Real,-4.683376164,0.4073120952,5.090688259,1.086969759
121,60,Imag,0.7283240498,5.109237671,4.380913621,6.015061047
122,61,Real,3.07546562,0.02872598171,3.046739638,0.9906596317
123,61,Imag,2.859386017,-1.772675633,4.632061651,1.619949745
124,62,Real,-5.989872441,-5.910272598,0.07959984315,0.0132890715
125,62,Imag,0.4982162583,-1.140086532,1.63830279,3.288336666
126,63,Real,3.933977114,3.933978558,1.443153562e-06,3.668434054e-07
127,63,Imag,-1.322909824,-1.322910428,6.03547607e-07,4.562273224e-07
